entry,name,size_bytes,custom_closure
0x08022fb0,FUN_08022fb0,26,
0x08022fd0,FUN_08022fd0,36,
0x08023000,FUN_08023000,26,
0x08023020,FUN_08023020,36,
0x08023050,FUN_08023050,8,
0x08023060,FUN_08023060,124,
0x080230e0,FUN_080230e0,102,
0x08023150,FUN_08023150,8,
0x08023160,FUN_08023160,62,
0x080231c0,FUN_080231c0,8,
0x080231d0,FUN_080231d0,8,
0x080231e0,FUN_080231e0,288,
0x08023340,FUN_08023340,94,
0x080233c0,FUN_080233c0,30,
0x080233f0,thunk_FUN_080233c0,4,
0x08023400,FUN_08023400,76,
0x08023460,FUN_08023460,76,
0x080234c0,FUN_080234c0,794,
0x08023820,FUN_08023820,130,
0x080238b0,FUN_080238b0,346,
0x08023a20,FUN_08023a20,18,yes
0x08023a40,FUN_08023a40,6,yes
0x08023a50,FUN_08023a50,8,
0x08023a60,FUN_08023a60,16,
0x08023a80,thunk_FUN_08023a60,4,
0x08023a90,FUN_08023a90,108,
0x08023b00,FUN_08023b00,112,
0x08023b30,FUN_08023b30,98,
0x08023ba0,FUN_08023ba0,122,
0x08023c30,FUN_08023c30,38,
0x08023c60,FUN_08023c60,44,
0x08023c90,FUN_08023c90,96,
0x08023cb0,FUN_08023cb0,38,
0x08023ce0,FUN_08023ce0,132,
0x08023d20,FUN_08023d20,92,
0x08023d50,FUN_08023d50,48,
0x08023d90,FUN_08023d90,112,
0x08023e00,FUN_08023e00,34,
0x08023e30,FUN_08023e30,920,yes
0x08024640,FUN_08024640,870,
0x08024660,FUN_08024660,26,
0x08024680,FUN_08024680,8,
0x08024690,FUN_08024690,26,
0x080246b0,FUN_080246b0,8,
0x080246c0,FUN_080246c0,26,
0x080246e0,FUN_080246e0,8,
0x080246f0,FUN_080246f0,26,
0x08024710,FUN_08024710,8,
0x08024720,FUN_08024720,26,
0x08024740,FUN_08024740,8,
0x08024750,FUN_08024750,30,
0x08024780,FUN_08024780,36,
0x080247b0,FUN_080247b0,42,
0x080247e0,FUN_080247e0,1968,
0x08024fd0,FUN_08024fd0,444,
0x080251c0,FUN_080251c0,264,
0x080252e0,FUN_080252e0,10,
0x080252f0,FUN_080252f0,170,
0x080253e0,FUN_080253e0,14,
0x08025400,FUN_08025400,974,
0x08025850,FUN_08025850,958,
0x08025c50,FUN_08025c50,820,
0x08025fd0,FUN_08025fd0,712,
0x080262d0,FUN_080262d0,130,
0x08026360,FUN_08026360,1606,
0x08026a00,FUN_08026a00,104,
0x08026a90,FUN_08026a90,128,
0x08026b30,FUN_08026b30,6,
0x08026b40,FUN_08026b40,132,
0x08026bd0,FUN_08026bd0,6,
0x08026bf0,FUN_08026bf0,14,
0x08026c10,FUN_08026c10,22,
0x08026c30,FUN_08026c30,74,
0x08026c90,FUN_08026c90,22,
0x08026cb0,FUN_08026cb0,42,
0x08026ce0,FUN_08026ce0,42,
0x08026d10,FUN_08026d10,42,
0x08026d40,FUN_08026d40,132,
0x08026dd0,FUN_08026dd0,134,
0x08026e60,FUN_08026e60,34,
0x08026e90,FUN_08026e90,110,
0x08026f30,FUN_08026f30,278,
0x08027070,FUN_08027070,142,
0x08027130,FUN_08027130,44,
0x08027160,FUN_08027160,32,
0x08027190,FUN_08027190,32,
0x080271c0,FUN_080271c0,34,
0x080271f0,FUN_080271f0,8,
0x08027200,FUN_08027200,8,
0x08027230,FUN_08027230,8,
0x08027260,FUN_08027260,46,yes
0x080272a0,FUN_080272a0,46,yes
0x080272e0,FUN_080272e0,8,yes
0x080272f0,FUN_080272f0,8,yes
0x08027300,FUN_08027300,8,yes
0x08027310,FUN_08027310,6,yes
0x08027320,FUN_08027320,16,
0x08027340,FUN_08027340,16,
0x08027360,FUN_08027360,16,
0x08027400,FUN_08027400,16,
0x08027420,FUN_08027420,8,
0x08027430,FUN_08027430,8,
0x08027440,FUN_08027440,8,yes
0x08027450,FUN_08027450,8,yes
0x08027470,FUN_08027470,18,
0x080274b0,FUN_080274b0,38,
0x080274e0,FUN_080274e0,38,
0x08027510,FUN_08027510,38,
0x08027540,FUN_08027540,8,yes
